/home/stephen/workspace/Data/Kinetics/answering questions/-Qh18sFtZD8_000166_000176.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/oxXBMtV_RwE_000071_000081.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/9vVYprRNhQc_000001_000011.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/GvbPohYmmXM_000097_000107.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/DnN8aO2JRqY_000003_000013.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/nZn2EH6tryw_000066_000076.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/AM6ea8PwYjo_001493_001503.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/QqFfKT4SRN8_000107_000117.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/ZScnk03mRd8_000060_000070.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/c6-XJzwugj0_000001_000011.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/RtTwaIpdR4E_000041_000051.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/doqBvEd4wE4_000470_000480.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/RtBeiwX3afY_000113_000123.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/SZWOuiHrPOU_000016_000026.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/_VaBR4wdZI0_000016_000026.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/2wG3dRYonNA_000075_000085.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/joN6_IGDa0U_000002_000012.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/ZMJXTDCbX_4_000021_000031.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/ZMB2iriHrbo_000139_000149.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/HvU9MzhneL0_000056_000066.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/fY8i-uIM6w8_000031_000041.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/F1pwGvxEHz4_000562_000572.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/Hn4ioSpRvvc_000290_000300.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/fzVmTKui8a0_000004_000014.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/SLGTKzVkUdE_001042_001052.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/aA0_BotSnAc_000564_000574.mp4,0
/home/stephen/workspace/Data/Kinetics/answering questions/aAslxY5VtgI_000033_000043.mp4,0
